web-scraper-order,web-scraper-start-url,category-links,category-links-href,subcategory-links,subcategory-links-href,product-links,product-links-href,name,price
"1645362551-85","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A416KA-FHD422 - Grey [Celeron N4500-4GB-SSD 256GB]","https://els.id/asus-vivobook-a416ka-fhd422-grey-celeron-n4500-4gb-ssd-256gb.html","Asus VivoBook A416KA-FHD422 - Grey [Celeron N4500-4GB-SSD 256GB]","IDR5,999,000"
"1645362493-60","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Creator K3500PC-OLED750 - Quiet Blue [i7 11370H-8GB-SSD 512GB-RTX3050]","https://els.id/asus-creator-k3500pc-oled750-quiet-blue-i7-11370h-8gb-ssd-512gb-rtx3050.html","Asus Creator K3500PC-OLED750 - Quiet Blue [i7 11370H-8GB-SSD 512GB-RTX3050]","IDR16,899,000"
"1645362481-56","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Lenovo Flex 5-14ITL05 VHID Touch 360⁰ - Grey [i7 1165G7-16GB-SSD 512GB]","https://els.id/lenovo-flex-5-14itl05-vhid-touch-360-grey-i7-1165g7-16gb-ssd-512gb.html","Lenovo Flex 5-14ITL05 VHID Touch 360⁰ - Grey [i7 1165G7-16GB-SSD 512GB]","IDR15,999,000"
"1645362536-79","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","MSI Gaming Katana GF66-12UE-264ID - Black [i7 12700H-16GB-SSD 512GB-RTX3060]","https://els.id/msi-gaming-katana-gf66-12ue-264id-black-i7-12700h-16gb-ssd-512gb-rtx3060.html","MSI Gaming Katana GF66-12UE-264ID - Black [i7 12700H-16GB-SSD 512GB-RTX3060]","IDR21,999,000"
"1645362391-20","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Acer C22-1650 (i5-1135G7) (LED 22' FHD)","https://els.id/all-in-one-acer-c22-1650-i5-1135g7-led-22-fhd.html","All In One Acer C22-1650 (i5-1135G7) (LED 22' FHD)","IDR9,799,000"
"1645362479-55","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Lenovo Yoga 6-13ALC6 BEID Touch 360⁰ - Abyss Blue [Ryzen 7 5700U-16GB-SSD 512GB]","https://els.id/lenovo-yoga-6-13alc6-beid-touch-360-abyss-blue-ryzen-7-5700u-16gb-ssd-512gb.html","Lenovo Yoga 6-13ALC6 BEID Touch 360⁰ - Abyss Blue [Ryzen 7 5700U-16GB-SSD 512GB]","IDR16,199,000"
"1645362454-45","https://els.id","Personal Computer","https://els.id/personal-computer.html","Macbook","https://els.id/laptop/macbook.html","Apple Macbook Air 13 2020 MGN73ID - Grey [Apple M1-RAM 8GB-SSD 512GB-MacOS]","https://els.id/apple-macbook-air-13-2020-mgn73id-grey-apple-m1-ram-8gb-ssd-512gb-macos.html","Apple Macbook Air 13 2020 MGN73ID - Grey [Apple M1-RAM 8GB-SSD 512GB-MacOS]","IDR19,470,000"
"1645362462-48","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Dell Inspiron 5410 Touch 360⁰ - Platinum Silver [i7 1195G7-16GB-SSD 512GB-MX350]","https://els.id/dell-inspiron-5410-touch-360-platinum-silver-i7-1195g7-16gb-ssd-512gb-mx350.html","Dell Inspiron 5410 Touch 360⁰ - Platinum Silver [i7 1195G7-16GB-SSD 512GB-MX350]","IDR17,499,000"
"1645362447-42","https://els.id","Personal Computer","https://els.id/personal-computer.html","Macbook","https://els.id/laptop/macbook.html","Apple Macbook Air 13 2020 MGND3ID - Gold [Apple M1-8GB-SSD 256GB-MacOS]","https://els.id/apple-macbook-air-13-2020-mgnd3id-gold-apple-m1-8gb-ssd-256gb-macos.html","Apple Macbook Air 13 2020 MGND3ID - Gold [Apple M1-8GB-SSD 256GB-MacOS]","IDR15,280,000"
"1645362422-31","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A52 (8/256GB) Duos - Blue","https://els.id/samsung-galaxy-a52-8-256gb-duos-blue.html","Samsung Galaxy A52 (8/256GB) Duos - Blue","IDR5,399,000"
